,GEO_ID,FSRR2010
78,0500000US20199,60.4
79,0500000US20201,67.6
80,0500000US20203,61.3
81,0500000US20207,59.1
82,0500000US20209,63.7
83,0500000US20073,61.3
84,0500000US20079,74.2
85,0500000US20087,71.1
86,0500000US20095,69.8
87,0500000US20103,71.6
88,0500000US20111,68
89,0500000US20117,72.2
90,0500000US20125,63.4
91,0500000US20133,69.2
92,0500000US20141,63.3
93,0500000US20147,65.3
94,0500000US20155,72
95,0500000US20161,69.3
96,0500000US20169,78
97,0500000US20177,72.4
98,0500000US20183,65.1
99,0500000US20191,68.9
100,0500000US20197,67.9
101,0500000US20205,58.8
102,0500000US20065,66.6
103,0500000US20175,55.5
104,0500000US20059,70.8
105,0500000US20185,64.5
1,0500000US17001,75.3
2,0500000US17003,53.8
3,0500000US17005,69.4
4,0500000US17007,74.9
5,0500000US17009,65.3
6,0500000US17011,73.4
7,0500000US17015,65.5
8,0500000US17017,70.3
9,0500000US17021,72
10,0500000US17023,69.8
11,0500000US17025,71.2
12,0500000US17027,76.6
13,0500000US17029,70.6
14,0500000US17031,66.1
15,0500000US17033,72.4
16,0500000US17035,59.8
17,0500000US17037,71.7
18,0500000US17039,70.4
19,0500000US17041,73.8
20,0500000US17043,77.3
21,0500000US17045,69.4
22,0500000US17047,75.2
23,0500000US17049,77.4
24,0500000US17051,70.2
25,0500000US17053,75.2
26,0500000US17055,65.3
27,0500000US17057,71.7
28,0500000US17059,56.5
29,0500000US17061,68
30,0500000US17063,74.7
31,0500000US17065,65.4
32,0500000US17067,66.1
33,0500000US17071,61.6
34,0500000US17073,74.9
35,0500000US17077,62.2
36,0500000US17079,77.5
37,0500000US17083,72.9
38,0500000US17085,60
39,0500000US17087,60.6
40,0500000US17091,71.4
41,0500000US17093,76.8
42,0500000US17097,75.5
43,0500000US17099,72.9
44,0500000US17103,75.4
45,0500000US17105,75.5
46,0500000US17107,73.1
47,0500000US17111,77.8
48,0500000US17115,70.7
49,0500000US17119,73.9
50,0500000US17121,70.6
51,0500000US17125,71.2
52,0500000US17127,68.6
53,0500000US17129,73
54,0500000US17133,81.2
55,0500000US17135,68.8
56,0500000US17153,56.8
57,0500000US17145,72.3
58,0500000US17147,78.7
59,0500000US17149,64.8
60,0500000US17155,67.2
61,0500000US17159,72.5
62,0500000US17161,72.2
63,0500000US17165,65.4
64,0500000US17167,72.9
65,0500000US17169,68.5
66,0500000US17173,72
67,0500000US17175,73.5
68,0500000US17179,77.7
69,0500000US17181,68.8
70,0500000US17183,70.2
71,0500000US17187,70.8
72,0500000US17189,74.8
73,0500000US17193,70.4
74,0500000US17195,74.7
75,0500000US17197,76.9
76,0500000US17201,72.5
77,0500000US17203,79.7
78,0500000US17069,56.7
79,0500000US17075,72
80,0500000US17081,68.5
81,0500000US17089,75.2
82,0500000US17095,72.1
83,0500000US17101,70.9
84,0500000US17109,67.3
85,0500000US17117,71.4
86,0500000US17123,70.3
87,0500000US17131,74.2
88,0500000US17137,73
89,0500000US17143,71.4
90,0500000US17151,52.7
91,0500000US17157,73.5
92,0500000US17163,70
93,0500000US17171,72.8
94,0500000US17177,72.8
95,0500000US17185,71.3
96,0500000US17141,73.9
97,0500000US17191,71.9
98,0500000US17199,69.2
99,0500000US17013,57.1
100,0500000US17113,72.6
101,0500000US17019,70.4
102,0500000US17139,76.1
1,0500000US22001,64.7
2,0500000US22003,53.9
3,0500000US22005,66.9
4,0500000US22007,56.7
5,0500000US22009,54
6,0500000US22011,64
7,0500000US22013,54.2
8,0500000US22015,68
9,0500000US22017,67.1
10,0500000US22019,63.8
11,0500000US22021,48.3
12,0500000US22023,44.7
13,0500000US22053,62.5
14,0500000US22055,66
15,0500000US22057,66.1
16,0500000US22059,56.8
17,0500000US22061,59.7
18,0500000US22063,62.3
19,0500000US22065,51.2
20,0500000US22067,62.1
21,0500000US22069,52.9
22,0500000US22071,43.8
23,0500000US22073,66.8
24,0500000US22075,56
25,0500000US22077,53.3
26,0500000US22079,63.9
27,0500000US22081,45.3
28,0500000US22083,61.5
29,0500000US22085,47.8
30,0500000US22087,45.4
31,0500000US22089,66.3
32,0500000US22091,44.5
33,0500000US22093,54.4
34,0500000US22095,62.8
35,0500000US22097,57.3
36,0500000US22099,62.8
37,0500000US22101,56.1
38,0500000US22103,67.9
39,0500000US22105,55.8
40,0500000US22107,43.2
41,0500000US22109,64.5
42,0500000US22111,58
43,0500000US22113,65.1
44,0500000US22115,55.9
45,0500000US22117,61.7
46,0500000US22119,62.6
47,0500000US22121,64.3
48,0500000US22123,60.1
49,0500000US22125,50.2
50,0500000US22025,53.1
51,0500000US22027,60.2
52,0500000US22029,51.9
53,0500000US22031,56.5
54,0500000US22033,65.2
55,0500000US22035,55.6
56,0500000US22037,57.9
57,0500000US22039,61.5
58,0500000US22041,61.3
59,0500000US22043,57.3
60,0500000US22045,63.8
61,0500000US22047,60
62,0500000US22049,56
63,0500000US22051,66.5
64,0500000US22127,47.9
1,0500000US24041,62.1
2,0500000US24035,68.2
3,0500000US24037,63.5
4,0500000US24039,54.4
5,0500000US24043,69.6
6,0500000US24045,66.7
7,0500000US24047,33.2
8,0500000US24510,59.5
9,0500000US24001,66.3
10,0500000US24003,73
11,0500000US24005,73.4
12,0500000US24009,68.8
13,0500000US24011,63.9
14,0500000US24013,78.1
15,0500000US24015,66.5
16,0500000US24017,71.5
17,0500000US24019,60.1
18,0500000US24021,75
19,0500000US24023,49.1
20,0500000US24025,75.9
21,0500000US24027,76.7
22,0500000US24029,57.7
23,0500000US24031,76.1
24,0500000US24033,68.6
1,0500000US25003,63.7
2,0500000US25005,68
3,0500000US25007,
4,0500000US25009,69.8
5,0500000US25011,69.8
6,0500000US25013,72.2
7,0500000US25015,73.9
8,0500000US25017,73.3
9,0500000US25019,
10,0500000US25021,74.2
11,0500000US25023,67.5
12,0500000US25025,62.9
13,0500000US25027,68.9
14,0500000US25001,45.5
1,0500000US29001,70.8
2,0500000US29005,63.2
3,0500000US29009,58.4
4,0500000US29011,70.4
5,0500000US29013,65.9
6,0500000US29015,48.5
7,0500000US29017,58.6
8,0500000US29025,62.6
9,0500000US29019,70
10,0500000US29021,69.8
11,0500000US29023,60.7
12,0500000US29027,66.1
13,0500000US29035,53.7
14,0500000US29029,38.3
15,0500000US29031,69.8
16,0500000US29033,67.6
17,0500000US29037,73.1
18,0500000US29039,61
19,0500000US29041,65.1
20,0500000US29043,70.7
21,0500000US29045,67.9
22,0500000US29047,73.6
23,0500000US29049,70.4
24,0500000US29051,73.4
25,0500000US29053,69.8
26,0500000US29055,60.1
27,0500000US29057,61
28,0500000US29059,64.6
29,0500000US29061,60.6
30,0500000US29063,66.2
31,0500000US29065,60
32,0500000US29069,62.5
33,0500000US29071,71.3
34,0500000US29073,61.2
35,0500000US29077,71.1
36,0500000US29079,67.5
37,0500000US29083,68.9
38,0500000US29085,46.7
39,0500000US29087,59.8
40,0500000US29091,68.3
41,0500000US29093,52.6
42,0500000US29099,73.2
43,0500000US29101,66.7
44,0500000US29105,69.3
45,0500000US29107,69
46,0500000US29111,67.1
47,0500000US29117,70.3
48,0500000US29119,60.4
49,0500000US29123,66.8
50,0500000US29125,60.9
51,0500000US29129,53.5
52,0500000US29131,58.1
53,0500000US29133,64.7
54,0500000US29137,61.7
55,0500000US29139,63.7
56,0500000US29143,60.6
57,0500000US29145,68.7
58,0500000US29149,59.7
59,0500000US29151,65.3
60,0500000US29153,54.7
61,0500000US29157,72.1
62,0500000US29159,69.5
63,0500000US29161,64
64,0500000US29165,72.4
65,0500000US29167,65.6
66,0500000US29171,57.7
67,0500000US29173,65.9
68,0500000US29177,71.1
69,0500000US29179,45.2
70,0500000US29181,53.8
71,0500000US29185,57.6
72,0500000US29197,64.5
73,0500000US29186,70.3
74,0500000US29189,75.2
75,0500000US29195,66.7
76,0500000US29201,64.8
77,0500000US29203,57.8
78,0500000US29205,67.7
