,CRRALL,CRRINT,DAVG,DINTAVG,DRRALL,DRRINT,GEO_ID
113,1.2,1.2,0.1,0.1,0.1,0.1,0500000US48271
114,22,15,0.8,0.8,0.8,0.8,0500000US48273
115,8.7,8.6,1,1,1,1,0500000US48275
116,32.2,19.1,0.9,0.9,1,1,0500000US48277
117,18.9,7,0.5,0.5,0.5,0.5,0500000US48279
118,6.8,6.6,0.4,0.4,0.4,0.4,0500000US48283
119,27.8,13.4,0.9,0.9,0.9,0.9,0500000US48285
120,26.5,14.2,0.9,0.9,0.9,0.9,0500000US48287
121,10.3,4.5,0.3,0.3,0.3,0.3,0500000US48289
122,24.1,9.5,0.9,0.9,0.9,0.9,0500000US48293
123,10.6,10.2,0.4,0.4,0.4,0.4,0500000US48295
124,21.3,13.5,1,1,1,0.9,0500000US48299
125,30.1,27.1,1.8,1.8,1.8,1.8,0500000US48303
126,23.3,9.4,1.1,1,1.1,1,0500000US48307
127,31,25.5,1.4,1.3,1.4,1.4,0500000US48309
128,22.4,8.8,0.5,0.5,0.6,0.6,0500000US48313
129,25.1,9.7,0.9,0.9,0.9,0.8,0500000US48315
130,3.9,1.9,0.4,0.4,0.5,0.5,0500000US48319
131,14.7,8.6,0.5,0.5,0.5,0.5,0500000US48323
132,21.1,12.9,0.7,0.7,0.7,0.7,0500000US48325
133,24.6,23.1,1.1,1.1,1.1,1.1,0500000US48329
134,22.9,11.3,0.7,0.6,0.7,0.6,0500000US48331
135,14.7,11,1,1,1,1,0500000US48333
136,26,17.5,1.3,1.2,1.3,1.3,0500000US48337
137,30.3,28.6,1.3,1.3,1.3,1.3,0500000US48339
138,20.6,11.6,0.5,0.4,0.5,0.5,0500000US48341
139,3,2.2,0.6,0.6,0.6,0.6,0500000US48345
140,25.4,17,0.7,0.7,0.7,0.7,0500000US48347
141,15.2,8.1,0.4,0.4,0.4,0.4,0500000US48351
142,26.9,15.4,0.9,0.9,0.9,0.9,0500000US48353
143,22.8,18.4,0.9,0.8,0.9,0.9,0500000US48355
144,1.6,1.6,0.1,0.1,0.1,0.1,0500000US48359
145,29.6,19.8,0.9,0.8,0.8,0.8,0500000US48361
146,22.3,15.3,0.9,0.9,1,1,0500000US48363
147,33.2,32,1.5,1.5,1.6,1.6,0500000US48367
148,17.6,9,0.3,0.3,0.3,0.3,0500000US48369
149,16.6,11.2,1.2,1.2,1.4,1.4,0500000US48371
150,28.4,20.9,0.8,0.8,0.8,0.8,0500000US48375
151,0.6,0.6,0.1,0.1,0.1,0.1,0500000US48377
152,22,15.8,1.1,1.1,1,1,0500000US48379
153,16.9,16.7,0.8,0.8,0.8,0.8,0500000US48383
154,0.9,0.8,0.1,0.1,0.1,0.1,0500000US48385
155,16.1,6.4,0.6,0.6,0.6,0.6,0500000US48389
156,14.3,5.5,0.2,0.2,0.2,0.2,0500000US48391
157,27.8,6.5,0.4,0.4,0.4,0.4,0500000US48393
158,36.6,36.3,1.9,1.9,1.8,1.8,0500000US48397
159,30.2,10.4,1.2,0.7,1,0.7,0500000US48399
160,27.5,12.1,0.9,0.8,0.9,0.9,0500000US48401
161,10.8,6.1,0.4,0.4,0.4,0.4,0500000US48403
162,21,9.3,0.7,0.7,0.7,0.6,0500000US48407
163,21.3,14.9,0.9,0.9,0.9,0.9,0500000US48409
164,18.9,7.2,1,0.8,0.9,0.7,0500000US48411
165,2.8,2.7,0.2,0.2,0.2,0.2,0500000US48413
166,23.7,19,1.2,1.2,1.3,1.3,0500000US48415
167,11.7,11.5,0.8,0.8,0.8,0.8,0500000US48417
168,23.7,9.8,0.6,0.6,0.6,0.6,0500000US48419
169,3.7,3.7,0.1,0.1,0.1,0.1,0500000US48421
170,31.9,26.6,1.4,1.3,1.4,1.4,0500000US48423
171,11.3,6.2,0.4,0.3,0.4,0.3,0500000US48427
172,25.5,8.7,0.8,0.7,0.8,0.7,0500000US48429
173,2.1,2.1,0,0,0,0,0500000US48431
174,6.1,2.4,0.4,0.4,0.4,0.4,0500000US48433
175,13.5,5.1,0.5,0.5,0.5,0.5,0500000US48435
176,19.7,16.7,0.6,0.6,0.6,0.6,0500000US48437
177,33.7,31.9,1.6,1.6,1.6,1.6,0500000US48439
178,29.1,24.1,1.4,1.3,1.4,1.3,0500000US48441
179,1.5,1.5,0.4,0.4,0.4,0.4,0500000US48443
180,28.1,11.5,0.7,0.7,0.8,0.8,0500000US48445
181,14.4,4.9,0.1,0.1,0.1,0.1,0500000US48447
182,31.6,28.3,1.9,1.9,2,1.9,0500000US48451
183,29,28.6,1.7,1.7,1.7,1.7,0500000US48453
184,17.1,6.7,0.4,0.4,0.4,0.4,0500000US48455
185,16.3,5.6,0.5,0.5,0.4,0.4,0500000US48457
186,28.3,21.4,1.1,1.1,1.1,1.1,0500000US48459
187,1.4,1.4,0.4,0.4,0.3,0.3,0500000US48461
188,14.4,6.8,0.4,0.4,0.4,0.4,0500000US48463
189,19.6,14.9,0.6,0.6,0.6,0.6,0500000US48465
190,27.6,15.7,0.9,0.9,0.9,0.9,0500000US48467
191,26.8,21.9,1,1,1.1,1.1,0500000US48469
